EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	12:55:50	0	0.0500	0.3858374417641934	0.3236653804779053	0.3506	0.553	0.4292	0.2732
2	13:04:49	1	0.0500	0.29864946745941967	0.26330074667930603	0.2949	0.35	0.3201	0.1905
3	13:13:39	2	0.0500	0.278177879864666	0.25507408380508423	0.3371	0.3817	0.3581	0.2181
4	13:22:26	0	0.0500	0.2664182397001496	0.2586861252784729	0.3831	0.488	0.4292	0.2732
5	13:31:12	1	0.0500	0.25776255412136384	0.24848805367946625	0.3685	0.4135	0.3897	0.242
6	13:39:51	2	0.0500	0.25198894721460163	0.2486599087715149	0.386	0.4343	0.4087	0.2569
7	13:48:32	0	0.0500	0.24377089654435255	0.2558049261569977	0.4041	0.5263	0.4571	0.2963
